,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,y,predict,no,yes
0,44,technician,single,secondary,no,29,yes,no,unknown,5,may,151,1,no,no,0.9994734708201388,0.0005265291798611663
1,35,management,married,tertiary,no,231,yes,no,unknown,5,may,139,1,no,no,0.9998784212974732,0.00012157870252679276
2,41,admin,divorced,secondary,no,270,yes,no,unknown,5,may,222,1,no,no,0.9942338447282022,0.0057661552717977
3,29,admin,single,secondary,no,390,yes,no,unknown,5,may,137,1,no,no,0.998883161456861,0.001116838543139
4,53,technician,married,secondary,no,6,yes,no,unknown,5,may,517,1,no,no,0.9236914990983904,0.0763085009016096
5,45,admin,single,unknown,no,13,yes,no,unknown,5,may,98,1,no,no,0.999841648362598,0.00015835163740194827
6,36,technician,single,secondary,no,265,yes,yes,unknown,5,may,348,1,no,no,0.998489351366134,0.001510648633866
7,57,technician,married,secondary,no,839,no,yes,unknown,5,may,225,1,no,no,0.9979447644660489,0.0020552355339512
8,37,admin,single,secondary,no,0,yes,no,unknown,5,may,137,1,no,no,0.999615184813106,0.00038481518689412886
9,50,management,married,secondary,no,49,yes,no,unknown,5,may,180,2,no,no,0.9998300588672168,0.0001699411327834019
10,36,admin,single,primary,no,-171,yes,no,unknown,5,may,242,1,no,no,0.998813133513298,0.0011868664867019
11,54,blue-collar,married,secondary,no,1291,yes,no,unknown,5,may,266,1,no,no,0.998001552805452,0.0019984471945478
12,24,technician,single,secondary,no,-103,yes,yes,unknown,5,may,145,1,no,no,0.9998030987968716,0.00019690120312838304
13,53,technician,divorced,secondary,no,989,yes,no,unknown,5,may,812,1,no,yes,0.600279710879239,0.399720289120761
14,57,blue-collar,married,primary,no,249,yes,no,unknown,5,may,164,1,no,no,0.9996651822892658,0.0003348177107341551
15,33,services,married,secondary,no,790,yes,no,unknown,5,may,391,1,no,no,0.9958704037437512,0.0041295962562488
16,60,retired,married,tertiary,no,100,no,no,unknown,5,may,528,1,no,no,0.9308702168775068,0.069129783122493
17,57,blue-collar,married,secondary,no,5935,yes,yes,unknown,5,may,258,1,no,no,0.9984791728379768,0.0015208271620231
